ID,Hook Style,Main Text,Comment Text
1,분위기 변신,그냥 스카프 하나 묶었을 뿐인데 분위기 미쳤지;; 머리숱 없는 편이라 고민이었는데 이거 완전 꿀팁이잖아 ㅠㅠ 똥손도 5분 만에 끝내는 역작 ㄷㄷ 바닷가 놀러 갈 때 이거 딱 하고 가면 인생샷 건지는 거 알지? ;;;,"[광고] 이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
2,다이어트 레시피,이거 알려준 필테쌤 어디계십니까??? 절 오백번 올릴께요!!!!! 김에 싸먹으면 진심 존맛인데 2주 저녁으로 조졌더니 바로 3키로 날라감;;ㄷㄷ,"[광고] 오이크래미 샐러드

🥒 재료준비
오이, 크래미(또는 닭가슴살), 요거트
간장, 와사비, 킥소스

👇 칼로리 낮은 감칠맛 폭발 킥 ‼️
✔️link.coupang.com/a/fqc...
✔️link.coupang.com/a/fqc...

👩‍🍳 레시피
① 오이 얇게 썰고 소금 살짝 절여 10분 후 물기 꼭 짜주기 (아삭한 식감)
② 닭가슴살 or 크래미 찢고
아보카도는 부드럽게 으깨기
③ 그릭요거트 + 간장 + 와사비 +킥소스로 소스만들기
④ 재료 넣고 마지막에 소스 넣어 섞기
⑤ 김에 싸서 바로 먹기

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
3,요리 꿀팁,이거 알려준 스치니 어디계십니까~~~ 진짜 미슐랭 셰프세요????? 한판 구웠더니 남편이랑 아들이 다 집어먹어서 내꺼 다시 굽는중ㅠㅋㅋㅋㅋ,"[광고] 파인애플 그냥 먹으면 진짜 하수

🍍 재료준비
파인애플, 꿀이나 설탕

👇 꿀 대신 난 코코넛 바르는게 더 맛있더라 ‼️
✔️link.coupang.com/a/gan...
✔️link.coupang.com/a/gan...

👩‍🍳 레시피
1. 파인애플을 얇게 슬라이스 한다
2. 꿀이나 설탕 발라서 에프에 구워준다
3. 180도에 15분정도 구워주고 식혀서 먹는다

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
4,의문/킹받음,유부남한테 이런걸 선물하는건 무슨 의도일까?? 생각할 수록 킹받네!!ㅂㄷㅂㄷ,"[광고] ⬇ 맛있어서 더 짜증남!! ⬇
✔️link.coupang.com/a/eSS...
✔️link.coupang.com/a/eSS...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
5,맛집 레시피,이거 알려준 한남 브런치 알바생님 어디 계십니까?? 절 오백번 올릴께요~~~~ 스프레드가 킥인데 맛이 진짜 미쳤어ㄷㄷ ㄹㅇ 10분 컷이니까 저장하고 꼭 해봐!,"[광고] 한남 브런치 발라버리는 샌드위치

🍞 재료준비
• 식빵,계란 1개, 슬라이스 햄, 루꼴라, 버터, 후추
• 스프레드 : 크림치즈 2T, 블루베리 잼 1T

👇 카페 맛 완벽구현 조합 ‼️
✔️link.coupang.com/a/eOn...
✔️link.coupang.com/a/eOn...

👩‍🍳 레시피
1.팬에 버터를 두르고 식빵을 노릇하게 굽기
2.계란 후라이는 반숙이나 완숙 취향껏, 슬라이스 햄도 팬에 살짝 구워 풍미를 살려주기
3.구워진 빵 양면에 크림치즈를 듬뿍 바르고, 그 위에 블루베리 잼을 슥슥 펴 발라주기
4.빵 위에 [루꼴라→ 햄 → 계란 → 루꼴라] 순으로 듬뿍 쌓아 올려주기
5.나머지 빵으로 덮고 살짝 눌러준 뒤, 반으로 슥 자르면 완성!

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
6,뇌정지/발견,헉.. 나 이거보고 뇌정지 옴;;ㄷㄷ 이거말이야... 제거해야 하는거였어??,"[광고] ⬇ 이런게 있는줄도 몰랐는데🙄 ⬇
✔️link.coupang.com/a/eHx...
✔️link.coupang.com/a/eHx...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
7,홈카페 레시피,이거 알려준 카페 알바생 어디계십니까??? 절 오백번 올립니더~~~~~ 말차 쳐돌인데 덕분에 돈 굳었다!!😊,"[광고] 오설록 씹어먹는 말차라떼

🍵 재료준비
말차가루, 연유, 우유

👩‍🍳 레시피
1. 말차 3g을 따뜻한 물 30m에 넣고 잘 풀기
2. 우유베이스 만들기 : 우유150ml+연유 20g

👇 찐하고 꾸덕한 카페맛 완성 킥 ‼️
✔️link.coupang.com/a/eCa...
✔️link.coupang.com/a/eCa...

3. 얼음 컵에 풀어둔 말차 붓기

이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
8,홈브런치,이거 알려준 스치니 어디계십니까??? 아침에 이거 해줬더니 남편이 브런치 배달시킨줄알아ㅋㅋㅋㅋ 생각보다 금방하니까 저장하고 꼭해봐!! 😊,"[광고] 브런치집 버섯 샌드위치

🍞 재료준비
식빵 2장,양파 1/2개
양송이 5개, 표고버섯 3개
달걀 1개, 체다치즈 2장
올리브유, 후추, 버터

👇 카페맛 완성 풍미폭발 킥은 이거 ‼️
✔️link.coupang.com/a/eq7...
✔️link.coupang.com/a/eq7...

👩‍🍳 레시피
1️⃣ 식빵은 팬에 앞뒤로 1분씩 노릇하게 굽기
2️⃣ 양파랑 버섯은 먹기 좋게 슬라이스하기
3️⃣ 올리브유 두른 팬에 양파, 버섯 중불에 볶기
4️⃣ 갈색빛 돌 때 비밀재료, 소금, 후추 넣어 풍미 입히기
5️⃣ 볶은 재료 위에 달걀 톡 까서
뚜껑 덮고 30초 익힘
6️⃣ 치즈 한 장 올려서 녹인 뒤 빵 위에 올리면 끝

이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
9,품절 대란,무인양품 갔더니 중국인들이 이걸 다 쓸어담고 있는거야;; 질수없어 나도 한주먹 집어왔는데 와 씨 나 그동안 이거 없이 어뜨케 살았어ㅠㅠ,"[광고] ⬇ 나 이제 이거 없음 큰일남!! ⬇
✔️link.coupang.com/a/eAV...
✔️link.coupang.com/a/eAV...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
10,중독성/다이어트,이거 알려준 스치니 어디계십니까??? 절 오백번 올릴께요!!!!! 맛이 완전 미슐랭급이라 코박고 흡입했는데 일주일 저녁으로 조졌더니 벌써 3키로 빠짐;;ㄷㄷ,"[광고] 맛도리 소고기 배추 볶음

🍄 재료
소고기 300g, 알배기 배추 1/2통,
대파 1대, 다진 마늘 1큰술

🧂 양념
킥소스 2큰술, 간장 1큰술,
맛술 1큰술, 전분가루 약간, 후추

👇 칼로리 낮은 감칠맛 폭발 킥 ‼️
✔️link.coupang.com/a/eTW...
✔️link.coupang.com/a/eTW...

이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.

🍳 조리법
1. 소고기는 키친타월로 핏물을 제거하고 간장, 맛술, 후추, 전분가루로 밑간함.
2. 알배기 배추는 한입 크기로 썰고 대파는 송송 썰어 준비
3. 팬에 기름을 두르고 대파와 마늘을 볶아 향을 낸 뒤 소고기를 넣어 센 불에서 볶음
4. 고기 겉면이 익으면 배추를 넣고 숨이 죽을 때까지 빠르게 볶아냄
5. 킥소스를 넣고 고루 섞이도록 한 번 더 볶아 마무리"
11,의심/반전,남편 차에 이런게 있던데 이거 뭐같아?? 기분 쎄해서 찾아봤더니..,"[광고] ⬇ 남편은 이거라는데 믿어야돼?🙄 ⬇
✔️link.coupang.com/a/gBy...
✔️link.coupang.com/a/gBy...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
12,정체기 극복,이거 알려주신 피티쌤 어디계십니까?? 절 오만번 받으세요ㅠㅜㅠㅠ 단백질 폭탄에 포만감 대박이야;; 나 이걸로 정체기 뚫고 3주만에 5키로 빠짐!!,"[광고] 두부 새우 계란찜

🔥 재료준비
두부 1모, 계란 2개, 새우 8마리
대파 약간, 홍고추 약간

🥣 소스
간장 2T, 맛술 1T, 킥소스 0.5T
다진마늘 1t, 킥재료 1T, 알룰로스 1T,
물 2T, 소금, 후추 약간

👇 칼로리 부담없는 감칠맛 폭발 킥 ‼️
✔️link.coupang.com/a/fVd...
✔️link.coupang.com/a/fVd...

🍳 레시피
1️⃣ 팬에 기름을 살짝 두르고 두부를 수저로 대충 잘라 아래면만 익히기
2️⃣ 그 위에 새우를 얹고 풀어놓은 계란을 부어주기
3️⃣ 1분 정도 뚜껑을 닫고 약불에 익히기
4️⃣ 만들어 놓은 소스를 넣고 살짝 끓이기
5️⃣ 잘게 썬 대파, 홍고추, 후추 뿌리면 완성

이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에따른 일정액의 수수료를 제공받습니다."
13,극찬/노벨상,무인양품 개발자님 어디계십니까??? 진심 노벨상 받으세요~~~~~ 뚜껑 안열고 빨대 들어가 아무리 흔들어 제껴도 절대 안새 하루종일 얼음 짱짱해 디자인 감성터져 도대체 뭔짓을 한건가요???ㅋㅋㅋㅋ,"[광고] ⬇ 이거 백퍼 커피 쳐돌이 작품이다!! ⬇
✔️link.coupang.com/a/f2i...
✔️link.coupang.com/a/f2i...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
14,남편 저격,남편방에 이상하게 있길래 쓰레기통에 버렸더니 남편 왜 버렸냐고 난리침;;ㅠㅜ 소중한거라는데 아니 이게 왜??🙄,"[광고] ⬇ 이런걸 왜 가지고 있는거지?? ⬇
✔️link.coupang.com/a/eSQ...
✔️link.coupang.com/a/eSQ...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다."
15,음료 레시피,이거 알려준 카페 사장님 어디계십니까?? 절 오백번 올립니더~~~~~ 우유하나 바꿨을 뿐인데 찐하고 꼬소한게 차원이 다름;;ㄷㄷ 이제 폴바셋 안가고 돈 굳었당!!ㅋㅋㅋ,"[광고] ⬇ 폴바셋 압살하는 라떼맛의 비법 ⬇
✔️link.coupang.com/a/gq4...
✔️link.coupang.com/a/gq4...

이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
16,남편 극찬,이거 알려준 알바생님 어디계십니까??? 절 오백번 올릴께요~~~~~ 아침에 이거 해줬더니 남편이 브런치 카페보다 맛있대~ 둘이 식빵 한봉지 다 해치움;;ㅋㅋㅋㅋ,"[광고] 크랜베리 크림치즈 토스트

🧀 재료준비
- 크림치즈 200g
- 쪽파 약간
- 건크랜베리 적당량
- 피스타치오 적당량
- 견과류 약간
- 꿀 약간
- 식빵

👇 쪽파&크림치즈 한번에 해결 ‼️
✔️link.coupang.com/a/fj4...
✔️link.coupang.com/a/fj4...

👩‍🍳 레시피
1️⃣ 크림치즈를 볼에 넣어 부드럽게 풀어줘
2️⃣ 송송 썬 쪽파를 넣고 섞어줘
3️⃣ 크림치즈를 동그랗게 뭉쳐줘
4️⃣ 잘게 다진 피스타치오, 견과류, 크랜베리를 넓게 펼쳐줘
5️⃣ 크림치즈 볼을 굴려 골고루 묻혀줘
6️⃣ 식빵을 바삭하게 구운 뒤 꿀을 살짝 뿌려줘
7️⃣ 구운 식빵 위에 크림치즈 볼을 올려 펴 바르고 비법재료 살짝 둘러줘

이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
