Hook Style,Main Text,Comment Text
간절한 감사/정보 공유,"ㅁㅊ...이거 알려준 스치니 찾습니다!!ㅠㅠㅠ

진심 은혜 갚고 싶어요
겨 볼 때마다 절 오백번 올립니다ㅠㅠㅠㅠ 1/2","strawberry.7912 > 광고 1시간
두개 다 사도 2만원도 안하니까 저장해두고 꼭 따라해봐!! 제발!!

♥ 관리법 ♥
1 니베아 크림 착색 고민 부위에 잔뜩 발라줘
2 10분 ~ 15분동안 그대로 방치
3 글리콜릭 토너 사용해서 부드럽게 닦아주면 끝!!

⚠️ 제모 직후는 안돼!!
⭐️ 니베아 크림 ⭐️
(link.coupang.com/a/eyk...)

⭐️ 글리콜릭 토너 ⭐️
각질정리랑 색소제거에 효과있음!
(link.coupang.com/a/fsK...)

""쿠팡 파트너스 활동의 일환으로, 일정액의 수수료를 제공받습니다"" 2/2"
강력 추천/도파민 자극,"제발!!! 무인양품가면 10개씩 사ㅠㅠ
진짜 하나만 사면 피눈물 흘린다..

입에 넣자마자 침샘 팍 터지는데
이건 진짜 ㅈㄴ 도파민 터짐ㅠㅠㅠ 1/2","strawberry.7912 2시간
[광고] 무인양품 가면 무조건이야!!!

🔽 '무인양품 간식' 🔽
link.coupang.com/a/fUG...
link.coupang.com/a/fUG...
이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다. 2/2"
해외 대란템/호기심 유발,"ㅁㅊ 언니가 해외에서 난리 났다며
한바가지 던져주고 감;;;;

떡인가 했더니 ㅈㄴ개맛있음ㅠㅠ
이거 진짜 뭐야;;; 1/2","strawberry.7912 3시간
[광고] 고소한게 개맛있어ㅋㅋㅋ
link.coupang.com/a/gA5...
link.coupang.com/a/gA5...
이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다 2/2"
다이어트 성공/비법 전수,"ㅁㅊ 텐퍼센트 알바생 제발 어디계세요!!;;ㅠㅠ

평생 은인으로 모실게요ㅠㅠㅠㅠㅠ

운동하기 ㅈㄴ 싫어서
저녁 바꿨는데 벌써 4키로 빠져버림;;;; 1/2","strawberry.7912 1일
[광고] 건강하게 먹었더니 화장실두 엄청 잘감;;;

🛒 재료
-바나나 반개
-아보카도 반개
-아몬드 5~7알
-우유 250ml
-필수템 1숟갈

🔽 죄책감 없이 맛있어지는 킥재료 🔽
link.coupang.com/a/f23...
link.coupang.com/a/f23...

이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다. 2/2"
제품 성능 극찬/꿀템 추천,"ㅁㅊ 무인양품 제발 홍보좀 해라;;;
빨대 꼽고 뚜껑 닫히고 흔들어도 안새
디자인도 개잘뽑음
이건 사기템이자너ㄷㄷ 1/2","strawberry.7912 > 광고 1일
link.coupang.com/a/f2j...
link.coupang.com/a/f2j...
이 포스팅은 쿠팡 파트너스 활동의 일환으로
이에 따른 일정액의 수수료를 제공받습니다. 2/2"
전문가 추천/피부 개선 비포애프터,"청담 피부샵 일하는 친구가 추천한 조합인데...

알려준 루틴대로 따라 했더니
화이트헤드랑 블랙헤드 한달만에 조짐;;;;;

나비존이 깐달걀마냥 매끈 촉촉해졌어ㅜㅠㅠㅠ 1/2","strawberry.7912 2일
[광고]주 2~3회만 해도 피부결이 깐달걀됨!!!

저녁 루틴 방법!

1 세안 후 화장솜에 토너를 적셔 얼굴을 부드럽게 닦아준다.
2 코, 턱 등 피지 많은 부위는 5분 정도 올려두면 더욱 효과적!
3 1~2분 정도 흡수시킨 뒤, 크림을 듬뿍 발라 마무리한다.

🧴 토너:
link.coupang.com/a/eDk...
🧴 크림(에멀전보다 크림이 좋아서 이거 써!!):
link.coupang.com/a/eDk...

💡 처음 사용할 땐 살짝 따끔할 수 있지만,
꾸준히 사용하면 묵은 각질과 거친 피부결 정리에도 도움 돼!!!

나도 코 주변 화이트헤드랑 블랙헤드 때문에 고민이었는데, 이 조합 쓰고 진짜 매끈해진 느낌이라 계속 쓰는 중!

이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에따른 일정액의 수수료를 제공받습니다. 2/2"
중독성 강한 맛/텅장 경고,"제발!! 무인양품가면 무조건 10개사ㅠㅠ
도대체 일본 초콜렛 뭐 들어가는거임

한자리에서 2봉지 순삭이야ㅠㅠㅠ
ㅅ...ㅂ... 내 텅장 눈감아 1/2","strawberry.7912 > 광고 2일
그냥 너무 맛있다 후
link.coupang.com/a/gAl...
link.coupang.com/a/gAl...
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다. 2/2"
초간단 레시피/배달 대체,"와씨;;;배달앱 켜지말고 이거 해봐!!;;;
재료비 5천원인데 개가성비임

마늘향 싸악 퍼지는데 입안에 군침 돔;;
ㅈㄴ 어나더 레벨이네ㅠㅠㅠ 1/2","strawberry.7912 2일
[광고]

🍯 허니갈릭 치킨스테이크
🛒 준비물
• 닭다리살 2장 (300~400g)
• 전분가루
• 간장 2T (큰술)
• 다진 마늘 1T (큰술)
• 버터 1조각
• 꿀 1T (큰술)
• 소금, 후추 약간
• 파슬리 약간
• 킥소스 1큰술

🔽 감칠맛 올리는 만능 킥소스 🔽
link.coupang.com/a/gz5...
link.coupang.com/a/gz5...

🍳 만드는 법
1 닭다리살에 소금, 후추, 간장 넣고 10분 밑간해
2 앞뒤로 전분가루 골고루 묻혀 탈탈 털기
3 팬에 껍질쪽부터 중불로 노릇하게 굽기
4 팬에 약불로 버터 녹이고 다진 마늘, 간장, 킥소스, 꿀 넣어 소스 만들기
5 구운 닭 다시 넣고 소스 입히면서 윤기 나게 졸여
6 먹기 좋게 썰어 파슬리 뿌리면 끝✨

‼️ 전분 입히고 중불 유지하는 게
겉바속촉 진짜 포인트

쿠팡파트너스 활동의 일환으로 일정액의 수수료를 제공받습니다 2/2"
요리학원 비법/공익 목적 공유,"ㅁㅊ 요리학원 쌤이 알려준 건데
진짜 학원 다니는 보람 있네;;;;

중국집 볶음밥보다도 ㅈㄴ 맛있음ㅠㅠ
10분컷 요리인데 공익을 위해 공유함;;; 1/3","strawberry.7912 2일
[광고] 사천식 소고기 마늘종 덮밥

[재료]
소고기(다짐육 또는 얇게 썬 것) 150g, 마늘종 1봉지, 홍고추 2개, 마늘 5쪽, 쪽파 약간, 밥 2공기

[소스]
진간장 2, 굴소스 1, 올리고당 1, 맛술 1, 후추 약간, 참기름 1, 킥소스

🔽 쌤이 알려준 중화풍 미친 킥소스 🔽
link.coupang.com/a/gz4...
link.coupang.com/a/gz4...

""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."" 2/3"
다이어트 식단/체중 감량 비법,"ㅁㅊ 발레리나분 어디계십니까;;

평생 은인으로 모실게요ㅠㅠㅠㅠㅠ
저녁만 바꿨는데 3키로 날라감;;; 1/2","strawberry.7912 3일
[광고] 한번만 먹어봐ㅠㅠ
진짜 고소하고 진한 게 미쳤음ㄷㄷ

다이어트 킥재료✨
link.coupang.com/a/gng...
link.coupang.com/a/gng...

🥣 만드는 방법
1. 킥재료를 깍둑썰기해서 준비.
2. 찜기에 넣고 약 5분간 짜기
3. 킥재료가 잠길 정도로 우유 붓기
4. 콩가루 1스푼을 넣고 잘 섞어주면 완성!

쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다. 2/2"
맛집 사장님 비법/감칠맛 극찬,"와씨;;; 성북동 닭도리탕집 사장님이
알려준 소스 넣었더니 미쳤네;;

ㅈㄴ 감칠맛 미쳤어ㅠㅠㅠ
맥주랑 먹으니까 진짜 핵존맛;;;ㄷㄷ 1/2","strawberry.7912 3일
[광고] 감칠맛 폭발 무뼈닭발 떡볶이 🌶️

🍢 재료
무뼈닭발 300g, 떡볶이떡 300g, 대파 약간, 양파 1/2개, 다진 마늘 1큰술

🍯 양념
고추장 2큰술, 고춧가루 1큰술, 진간장 1큰술, 설탕 1큰술, 올리고당 1큰술, 물 300ml, 킥소스 1큰술

🔽 감칠맛을 살려주는 킥소스 🔽
link.coupang.com/a/gys...
link.coupang.com/a/gys...

🥣 초간단 레시피
1. 무뼈닭발은 깨끗이 씻어 먹기 좋은 크기로 준비해줌
2. 팬에 다진 마늘과 대파를 넣고 가볍게 볶아 향을 내줌
3. 여기에 고추장, 고춧가루, 진간장, 설탕, 올리고당, 킥소스를 넣고 섞어줌
4. 물 300ml를 붓고 양념을 한소끔 끓여줌
5. 무뼈닭발과 떡볶이떡, 양파를 넣고 양념이 걸쭉하게 배어들 때까지 끓여주면 완성!

이 포스팅은 쿠팡 파트너스 활동의 일환으로, 일정액의 수수료를 제공받습니다. 2/2"
숨겨진 꿀템 발견/분노형 추천,"와씨;; 무인양품 진짜 너무해!!!ㅠㅠ
왜 이런 거 만들어놓고 홍보 안 함;;

립밤이랑 카드 쏙 들어가는데
이거 개꿀템이잖아ㅠㅠㅠㅠㅠㅠㅠ 1/2","strawberry.7912 4일
[광고] 이거 쓰고 지갑 처박아 둠;;;

🔽 '무인양품 파우치' 🔽
link.coupang.com/a/gic...
link.coupang.com/a/gic...
이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다. 2/2"
